customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,total_score,segment,predicted_clv,value_segment
12835,428,41,5687.71,1,5,5,155,11,About to Sleep,2545.689953,Medium-High Value
13214,418,7,3264.23,1,4,5,145,10,About to Sleep,1464.684181,Medium Value
13446,430,11,3251.89,1,5,5,155,11,About to Sleep,1505.564537,Medium Value
14025,465,8,2731.74,1,4,5,145,10,About to Sleep,1384.358602,Medium Value
14648,416,15,4105.74,1,5,5,155,11,About to Sleep,1777.323915,Medium-High Value
15633,509,12,3383.66,1,5,5,155,11,About to Sleep,1434.646952,Medium Value
15817,421,3,2698.4,1,3,5,135,9,About to Sleep,1120.690076,Medium Value
16335,552,7,2774,1,4,5,145,10,About to Sleep,1092.300347,Medium Value
17032,548,8,2940.85,1,5,5,155,11,About to Sleep,1193.491391,Medium Value
17145,513,4,3014.71,1,4,5,145,10,About to Sleep,1160.247536,Medium Value
17448,497,46,14556.97,1,5,5,155,11,About to Sleep,7466.370643,High Value
