customer_id,churn_probability,actual_churn,risk_category,recency_days,frequency,monetary,avg_order_value,customer_age_days
14750,0.9996949748402123,1,Critical Risk,735,1,112.03,3.5009375,0
17378,0.9996041053753149,1,Critical Risk,373,1,10.95,10.95,0
14816,0.9996041053753149,1,Critical Risk,196,1,21.85,10.925,0
17316,0.9995819228262467,1,Critical Risk,419,1,124.45,3.5557142857142856,0
17192,0.9995819228262467,1,Critical Risk,535,1,77.83,3.7061904761904763,0
16508,0.9995819228262467,1,Critical Risk,629,1,248.8,5.528888888888889,0
17587,0.9995819228262467,1,Critical Risk,627,1,181.66,4.224651162790698,0
16002,0.9995819228262467,1,Critical Risk,624,1,169.21,4.028809523809524,0
13568,0.9995819228262467,1,Critical Risk,172,1,192.85,4.382954545454545,0
15499,0.9995819228262467,1,Critical Risk,723,1,161.6,3.8476190476190473,0
15040,0.999553604728797,1,Critical Risk,541,1,7.49,7.49,0
17352,0.999553604728797,1,Critical Risk,695,1,36.25,7.25,0
13219,0.999553604728797,1,Critical Risk,617,1,76.23,6.930000000000001,0
17788,0.999553604728797,1,Critical Risk,129,1,16.7,5.566666666666666,0
15913,0.999553604728797,1,Critical Risk,533,1,6.300000000000001,6.300000000000001,0
14721,0.999553604728797,1,Critical Risk,378,1,115.77,4.2877777777777775,0
14717,0.999553604728797,1,Critical Risk,732,1,81.3,7.390909090909091,0
16692,0.999553604728797,1,Critical Risk,288,1,8.5,8.5,0
15001,0.9995475258256034,1,Critical Risk,393,2,230.85999999999999,4.275185185185185,0
17875,0.9994405527148313,1,Critical Risk,687,1,167.1,6.426923076923076,0
17177,0.9994405527148313,1,Critical Risk,504,1,119.5,4.120689655172414,0
17208,0.9994405527148313,1,Critical Risk,395,1,115.35,4.8062499999999995,0
13125,0.9994405527148313,1,Critical Risk,523,1,158.57,7.55095238095238,0
15905,0.9994405527148313,1,Critical Risk,542,1,114.69,5.213181818181818,0
17565,0.9994405527148313,1,Critical Risk,586,1,131.83,4.394333333333334,0
17543,0.9994405527148313,1,Critical Risk,549,1,120.05,9.234615384615385,0
16697,0.9994405527148313,1,Critical Risk,240,1,112.75,5.369047619047619,0
17938,0.9994405527148313,1,Critical Risk,419,1,144.29,4.97551724137931,0
16695,0.999406155714188,1,Critical Risk,561,2,193.15,5.365277777777778,0
18137,0.999406155714188,1,Critical Risk,550,2,145.99,5.034137931034483,0
15460,0.9993402530994634,1,Critical Risk,353,1,216.76,3.7372413793103445,0
15742,0.9992930013123335,1,Critical Risk,618,1,156.87,3.82609756097561,0
18004,0.9992930013123335,1,Critical Risk,361,1,169.47,4.23675,0
17826,0.9992930013123335,1,Critical Risk,373,1,134.59,3.958529411764706,0
15848,0.9992930013123335,1,Critical Risk,621,1,139.94,3.998285714285714,0
17803,0.999257547713116,1,Critical Risk,391,1,184.66,6.839259259259259,0
14166,0.9992378680526834,1,Critical Risk,504,2,256.85,4.84622641509434,121
15875,0.9991516312009182,1,Critical Risk,645,1,111.72,4.4688,0
16285,0.9991516312009182,1,Critical Risk,645,1,176.9,5.706451612903226,0
14453,0.9991516312009182,1,Critical Risk,189,1,119.93,5.451363636363637,0
16483,0.9991516312009182,1,Critical Risk,191,1,139.35,7.334210526315789,0
15927,0.9991516312009182,1,Critical Risk,646,1,123.39000000000001,7.258235294117648,0
14579,0.9991516312009182,1,Critical Risk,431,1,105.56,4.2224,0
17972,0.9991516312009182,1,Critical Risk,241,1,136.04,4.388387096774193,0
14787,0.9991516312009182,1,Critical Risk,470,1,110.65,7.376666666666667,0
15052,0.9991516312009182,1,Critical Risk,318,1,135.88,4.68551724137931,0
14165,0.9991516312009182,1,Critical Risk,275,1,122.53999999999999,4.901599999999999,0
18124,0.9991516312009182,1,Critical Risk,471,1,111.53,4.647083333333334,0
14993,0.9991432591404334,1,Critical Risk,563,1,36.13,3.6130000000000004,0
17820,0.9991099963106181,1,Critical Risk,373,1,183.56,4.37047619047619,0
18000,0.9990880985741029,1,Critical Risk,563,1,37.25,7.45,0
12773,0.9990880985741029,1,Critical Risk,563,1,37.25,7.45,0
14271,0.999061998552736,1,Critical Risk,225,2,219.13,5.618717948717949,183
17258,0.999061998552736,1,Critical Risk,396,2,417.3,7.587272727272728,268
16375,0.9990537015734595,1,Critical Risk,469,2,104.0,8.0,0
17844,0.9990405097072441,1,Critical Risk,106,1,51.559999999999995,10.312,0
14145,0.9990264083229481,1,Critical Risk,536,1,12.75,12.75,0
13913,0.9990264083229481,1,Critical Risk,506,1,42.22,14.073333333333332,0
17956,0.9990264083229481,1,Critical Risk,248,1,12.75,12.75,0
15649,0.9990264083229481,1,Critical Risk,386,1,50.55,12.6375,0
14823,0.9989961983259001,1,Critical Risk,179,3,321.43,4.591857142857143,14
16537,0.9989900090607261,1,Critical Risk,640,1,23.35,5.8375,0
15496,0.9989686261992028,1,Critical Risk,630,1,146.14,6.642727272727272,0
17654,0.9989686261992028,1,Critical Risk,276,1,117.55,5.343181818181818,0
15509,0.9989686261992028,1,Critical Risk,379,1,166.51,5.741724137931034,0
16074,0.9989686261992028,1,Critical Risk,389,1,265.25,10.201923076923077,0
18200,0.9989686261992028,1,Critical Risk,105,1,163.8,5.11875,0
16662,0.9989686261992028,1,Critical Risk,393,1,163.8,5.6482758620689655,0
14811,0.9989686261992028,1,Critical Risk,386,1,170.5,6.089285714285714,0
15558,0.9989686261992028,1,Critical Risk,638,1,143.32999999999998,5.972083333333333,0
18027,0.9989686261992028,1,Critical Risk,98,1,115.31,5.490952380952381,0
15438,0.9989686261992028,1,Critical Risk,130,1,156.57999999999998,6.263199999999999,0
15797,0.9989504634621045,1,Critical Risk,318,1,15.0,15.0,0
12846,0.9989504634621045,1,Critical Risk,681,1,15.58,15.58,0
15395,0.9989504634621045,1,Critical Risk,325,1,107.45,15.35,0
14519,0.9989489465387703,1,Critical Risk,683,2,206.09,5.284358974358974,45
13619,0.9989489465387703,1,Critical Risk,544,2,231.69,4.728367346938775,129
17185,0.9989489465387703,1,Critical Risk,591,3,229.46,5.215,6
16089,0.9989489465387703,1,Critical Risk,385,2,271.44,5.4288,122
16876,0.9989215241777408,1,Critical Risk,403,1,136.01,4.2503125,0
14131,0.9989215241777408,1,Critical Risk,648,1,187.87,3.6128846153846155,0
17808,0.9989206284413206,1,Critical Risk,548,4,186.14,5.816875,32
15924,0.9989141202368136,1,Critical Risk,730,1,102.82,6.854666666666666,0
14580,0.9988962225274585,1,Critical Risk,517,1,14.85,14.85,0
14879,0.9988769570467606,1,Critical Risk,684,1,185.06,6.854074074074074,0
17592,0.9988769570467606,1,Critical Risk,738,1,148.3,11.407692307692308,0
16908,0.9988769570467606,1,Critical Risk,721,1,143.69,7.562631578947368,0
14393,0.9988374021963417,1,Critical Risk,217,1,67.95,13.59,0
14812,0.9988084721637753,1,Critical Risk,598,1,185.8,5.021621621621622,0
14526,0.9988084721637753,1,Critical Risk,388,1,262.4,6.247619047619047,0
13724,0.9988084721637753,1,Critical Risk,636,1,213.01,5.071666666666666,0
17271,0.9988084721637753,1,Critical Risk,735,1,210.39,4.045961538461539,0
16408,0.9988084721637753,1,Critical Risk,590,1,231.93,5.154,0
17916,0.9987992043668703,1,Critical Risk,628,2,43.87,2.3089473684210526,104
17906,0.9987991770601897,1,Critical Risk,246,1,72.9,6.075,0
14374,0.9987501798834806,1,Critical Risk,540,1,108.0,15.428571428571429,0
15672,0.9987501798834806,1,Critical Risk,724,1,45.300000000000004,15.100000000000001,0
12858,0.9987412856125546,1,Critical Risk,382,1,177.92,3.631020408163265,0
15292,0.9987311152350982,1,Critical Risk,200,1,180.94,7.2376,0
15501,0.998707276811987,1,Critical Risk,404,2,402.5,5.75,10
17326,0.998707276811987,1,Critical Risk,407,2,321.95,3.6174157303370786,121
13234,0.998707276811987,1,Critical Risk,672,2,356.95,5.665873015873015,59
16381,0.998707276811987,1,Critical Risk,395,2,258.7,3.98,22
16259,0.998707276811987,1,Critical Risk,409,3,361.94,3.891827956989247,194
14069,0.9986719933586088,1,Critical Risk,514,2,230.06,5.477619047619048,46
12506,0.9986176837308242,1,Critical Risk,232,1,73.5,3.1956521739130435,0
17818,0.9986176837308242,1,Critical Risk,737,1,130.18,2.83,0
13241,0.9986176837308242,1,Critical Risk,411,1,115.58,2.751904761904762,0
17216,0.9985999155011395,1,Critical Risk,553,1,65.05,4.646428571428571,0
18120,0.9985880355328475,1,Critical Risk,213,1,111.15,6.538235294117648,0
15295,0.998566802436992,1,Critical Risk,653,1,217.23999999999998,4.098867924528301,0
16334,0.998566802436992,1,Critical Risk,491,1,277.48,4.784137931034483,0
17823,0.9985662960155365,1,Critical Risk,420,2,494.25,4.493181818181818,0
18148,0.9985616660960851,1,Critical Risk,646,1,114.10000000000001,10.372727272727273,0
14982,0.9985195506498621,1,Critical Risk,571,1,237.78,6.096923076923077,0
16731,0.9985195506498621,1,Critical Risk,647,1,174.05,4.047674418604651,0
17112,0.9985195506498621,1,Critical Risk,502,1,205.17000000000002,4.103400000000001,0
16925,0.9985195506498621,1,Critical Risk,539,1,125.65,6.980555555555556,0
15908,0.9985195506498621,1,Critical Risk,511,1,189.37,4.73425,0
13119,0.9984628126548774,1,Critical Risk,668,1,134.9,12.263636363636364,0
15537,0.9984169104994242,1,Critical Risk,162,1,110.92,4.621666666666667,0
13011,0.9983868677940336,1,Critical Risk,371,1,101.10000000000001,16.85,0
12482,0.9983798722937968,1,Critical Risk,575,21,2179.0,48.422222222222224,77
12961,0.9983365456481468,1,Critical Risk,378,1,211.99,5.29975,0
15866,0.9983365456481468,1,Critical Risk,100,1,230.53,5.122888888888889,0
17367,0.9983365456481468,1,Critical Risk,237,1,168.4,4.952941176470588,0
