customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,total_score,segment,predicted_clv,value_segment
12347,2,8,4769.5,5,4,5,545,14,Champions,3496.5971842601857,High Value
12352,36,9,1849.54,4,5,4,454,13,Champions,1416.1031285924328,Medium Value
12356,23,6,2767.09,4,4,5,445,13,Champions,1836.3096890391857,Medium-High Value
12358,2,5,1020.97,5,4,4,544,13,Champions,377.27266040285434,Low-Medium Value
12359,58,10,6751.24,4,5,5,455,14,Champions,2798.9286351110313,Medium-High Value
12360,52,7,3315.9900000000002,4,4,5,445,13,Champions,1465.193104304047,Medium Value
12362,3,10,5226.2300000000005,5,5,5,555,15,Champions,5383.674019304201,High Value
12370,51,7,3645.61,4,4,5,445,13,Champions,1579.489336582518,Medium Value
12380,22,8,5551.81,4,4,5,445,13,Champions,2477.7324113092923,Medium-High Value
12381,5,5,1457.31,5,4,4,544,13,Champions,3307.994007304313,High Value
12388,16,8,3407.8900000000003,5,4,5,545,14,Champions,1732.954787851516,Medium-High Value
12391,22,5,2358.52,4,4,5,445,13,Champions,962.3682896469959,Medium Value
12395,19,15,4756.77,5,5,5,555,15,Champions,2490.130924351047,Medium-High Value
12406,22,5,3936.02,4,4,5,445,13,Champions,1527.5934495581027,Medium Value
12407,50,5,1388.58,4,4,4,444,12,Champions,1426.1817926811823,Medium Value
12408,33,8,3177.85,4,4,5,445,13,Champions,1889.0993635094967,Medium-High Value
12415,25,20,6440.09,4,5,5,455,14,Champions,3919.8971323663923,High Value
12417,3,20,6732.91,5,5,5,555,15,Champions,2946.403239634356,Medium-High Value
12421,16,6,1098.6,5,4,4,544,13,Champions,613.3347277961416,Low-Medium Value
12423,1,10,2622.39,5,5,5,555,15,Champions,1713.7859583304662,Medium-High Value
12428,26,8,5578.08,4,4,5,445,13,Champions,5823.392993017659,High Value
12429,9,8,3989.15,5,4,5,545,14,Champions,2162.527610941229,Medium-High Value
12431,60,23,7744.13,3,5,5,355,13,Loyal Customers,3609.1421579601047,High Value
12432,43,4,2295.02,4,3,4,434,11,Potential Loyalists,3398.7668293679867,High Value
12433,1,10,14908.33,5,5,5,555,15,Champions,9517.750098860144,High Value
12437,2,38,11337.84,5,5,5,555,15,Champions,5064.544372711314,High Value
12444,21,5,3747.11,4,4,5,445,13,Champions,5953.978355529741,High Value
12449,22,5,3696.05,4,4,5,445,13,Champions,2279.415292924541,Medium-High Value
12451,11,8,10966.94,5,4,5,545,14,Champions,6136.621558447463,High Value
12471,2,75,24544.08,5,5,5,555,15,Champions,11170.583946305982,High Value
12472,32,19,16064.27,4,5,5,455,14,Champions,7087.802964695933,High Value
12473,29,5,2677.15,4,4,5,445,13,Champions,3786.160920394478,High Value
12474,17,31,11929.25,5,5,5,555,15,Champions,5852.861070207782,High Value
12476,16,18,10723.550000000001,5,5,5,555,15,Champions,6825.697148015184,High Value
12477,23,9,10918.92,4,5,5,455,14,Champions,5268.737000076348,High Value
12480,28,7,4230.05,4,4,5,445,13,Champions,2419.4571665749463,Medium-High Value
12481,23,14,8233.77,4,5,5,455,14,Champions,4260.015382726649,High Value
12483,17,18,3220.26,5,5,5,555,15,Champions,1519.1141231286526,Medium Value
12484,35,9,5348.87,4,5,5,455,14,Champions,2360.860637082264,Medium-High Value
12488,10,3,1129.16,5,3,4,534,12,Potential Loyalists,3389.008874655976,High Value
12490,5,21,9078.68,5,5,5,555,15,Champions,3961.2811303343847,High Value
12494,16,9,1872.8700000000001,5,5,4,554,14,Champions,977.5905830847613,Medium Value
12500,23,18,1883.28,4,5,4,454,13,Champions,893.7000475508192,Medium Value
12517,28,5,2412.84,4,4,5,445,13,Champions,3448.4699849044646,High Value
12518,1,5,2056.89,5,4,4,544,13,Champions,5097.348177123479,High Value
12523,19,23,4282.15,5,5,5,555,15,Champions,1891.9475288190242,Medium-High Value
12524,9,14,4085.99,5,5,5,555,15,Champions,1917.811405292403,Medium-High Value
12528,9,6,1933.48,5,4,4,544,13,Champions,1743.7073071661107,Medium-High Value
12539,22,7,9306.75,4,4,5,445,13,Champions,3767.1677541945164,High Value
12540,20,33,15384.33,4,5,5,455,14,Champions,6890.75790683363,High Value
12553,8,12,4414.83,5,5,5,555,15,Champions,3238.043782612,Medium-High Value
12562,8,9,3931.78,5,5,5,555,15,Champions,2719.046912976799,Medium-High Value
12567,23,15,11811.960000000001,4,5,5,455,14,Champions,5589.2593056811465,High Value
12569,2,32,3640.29,5,5,5,555,15,Champions,4743.989511657716,High Value
12572,9,2,1020.4200000000001,5,2,4,524,11,Potential Loyalists,3377.913575145055,High Value
12576,36,8,2062.7200000000003,4,4,4,444,12,Champions,1160.8036703053112,Medium Value
12577,35,8,1653.75,4,4,4,444,12,Champions,664.753013277686,Low-Medium Value
12583,3,27,11301.17,5,5,5,555,15,Champions,5013.012189126161,High Value
12584,4,9,2072.8,5,5,4,554,14,Champions,2229.823138546136,Medium-High Value
12589,29,6,3407.11,4,4,5,445,13,Champions,1391.4109945821563,Medium Value
12594,47,14,4560.49,4,5,5,455,14,Champions,2216.8527822979236,Medium-High Value
12598,10,11,4184.29,5,5,5,555,15,Champions,1982.0920926568606,Medium-High Value
12599,29,13,2232.82,4,5,4,454,13,Champions,1206.1061658931537,Medium Value
12600,29,21,2464.52,4,5,5,455,14,Champions,1084.1650785597942,Medium Value
12610,23,4,1827.54,4,3,4,434,11,Potential Loyalists,3702.4387714605787,High Value
12613,57,10,6365.87,4,5,5,455,14,Champions,2671.9692278667867,Medium-High Value
12615,2,8,5389.14,5,4,5,545,14,Champions,2527.2995089772903,Medium-High Value
12619,16,9,1617.62,5,5,4,554,14,Champions,868.5241942830392,Medium Value
12621,2,34,14586.65,5,5,5,555,15,Champions,7156.223012958723,High Value
12626,23,9,5281.28,4,5,5,455,14,Champions,4862.267121404083,High Value
12627,11,6,4226.53,5,4,5,545,14,Champions,8555.741473742264,High Value
12630,10,2,1030.88,5,2,4,524,11,Potential Loyalists,4047.430557860176,High Value
12631,57,6,3170.57,4,4,5,445,13,Champions,1289.1983737393848,Medium Value
12633,59,7,4873.96,4,4,5,445,13,Champions,2686.8635462529865,Medium-High Value
12637,67,12,8013.1,3,5,5,355,13,Loyal Customers,4575.962519974984,High Value
12645,34,8,3397.7,4,4,5,445,13,Champions,1502.7487113862899,Medium Value
12646,5,2,1184.25,5,2,4,524,11,Potential Loyalists,4165.257968116929,High Value
12647,22,33,10301.85,4,5,5,455,14,Champions,4860.2827296921205,High Value
12656,17,8,4446.63,5,4,5,545,14,Champions,2337.6122510327855,Medium-High Value
12662,1,20,6988.02,5,5,5,555,15,Champions,3632.9742866424826,High Value
12668,12,9,9472.56,5,5,5,555,15,Champions,4205.696121192566,High Value
12670,10,7,3006.85,5,4,5,545,14,Champions,1306.6536564149524,Medium Value
12676,25,11,2354.59,4,5,5,455,14,Champions,1499.4960129173244,Medium Value
12678,42,15,7196.04,4,5,5,455,14,Champions,3239.679508091774,Medium-High Value
12681,15,45,26896.61,5,5,5,555,15,Champions,12248.120358860198,High Value
12682,4,52,20460.13,5,5,5,555,15,Champions,9180.970732994,High Value
12683,4,20,9868.0,5,5,5,555,15,Champions,4366.007556534994,High Value
