customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,total_score,segment,predicted_clv,value_segment
12346,529,11,372.86,1,5,2,152,8,About to Sleep,157.8646339848331,Low Value
12347,2,8,4769.5,5,4,5,545,14,Champions,3496.5971842601857,High Value
12348,75,5,1025.3999999999999,3,4,4,344,11,Loyal Customers,633.8282713763556,Low-Medium Value
12349,19,3,3143.39,5,3,5,535,13,Potential Loyalists,1203.3706795706414,Medium Value
12352,36,9,1849.54,4,5,4,454,13,Champions,1416.1031285924328,Medium Value
12353,204,2,406.76,2,2,2,222,6,Need Attention,168.31306298215472,Low Value
12355,214,2,752.61,2,2,3,223,7,Need Attention,224.09216553754678,Low Value
12356,23,6,2767.09,4,4,5,445,13,Champions,1836.3096890391857,Medium-High Value
12357,33,2,5466.04,4,2,5,425,11,Potential Loyalists,2378.377719323425,Medium-High Value
12358,2,5,1020.97,5,4,4,544,13,Champions,377.27266040285434,Low-Medium Value
12359,58,10,6751.24,4,5,5,455,14,Champions,2798.9286351110313,Medium-High Value
12360,52,7,3315.9900000000002,4,4,5,445,13,Champions,1465.193104304047,Medium Value
12361,287,4,511.25,2,3,2,232,7,Need Attention,190.11536426164156,Low Value
12362,3,10,5226.2300000000005,5,5,5,555,15,Champions,5383.674019304201,High Value
12363,110,2,413.28,3,2,2,322,7,Promising,289.5123496830951,Low-Medium Value
12364,8,4,1248.3,5,3,4,534,12,Potential Loyalists,2847.9148398954458,Medium-High Value
12369,413,3,1442.43,1,3,4,134,8,About to Sleep,506.5416973503412,Low-Medium Value
12370,51,7,3645.61,4,4,5,445,13,Champions,1579.489336582518,Medium Value
12371,60,4,3298.88,3,3,5,335,11,Promising,1297.2140907669286,Medium Value
12372,72,3,1156.44,3,3,4,334,10,Promising,879.4474184754438,Medium Value
12373,311,3,967.6500000000001,2,3,3,233,8,Need Attention,323.6545532605469,Low-Medium Value
12374,25,3,2061.72,4,3,4,434,11,Potential Loyalists,790.6241338546075,Medium Value
12375,11,2,457.5,5,2,2,522,9,Potential Loyalists,796.267723317405,Medium Value
12376,390,2,243.15,2,2,2,222,6,Need Attention,98.44144200279813,Low Value
12377,315,4,2979.1600000000003,2,3,5,235,10,Need Attention,1283.06160481785,Medium Value
12378,130,2,5346.96,3,2,5,325,10,Promising,1609.1029157118553,Medium Value
12379,82,4,1544.02,3,3,4,334,10,Promising,732.2218281155789,Medium Value
12380,22,8,5551.81,4,4,5,445,13,Champions,2477.7324113092923,Medium-High Value
12381,5,5,1457.31,5,4,4,544,13,Champions,3307.994007304313,High Value
12383,185,5,1712.86,3,4,4,344,11,Loyal Customers,1318.179282135582,Medium Value
12384,29,2,425.27000000000004,4,2,2,422,8,Potential Loyalists,593.3611732002655,Low-Medium Value
12388,16,8,3407.8900000000003,5,4,5,545,14,Champions,1732.954787851516,Medium-High Value
12389,403,3,1125.3799999999999,2,3,4,234,9,Need Attention,386.75539197282853,Low-Medium Value
12391,22,5,2358.52,4,4,5,445,13,Champions,962.3682896469959,Medium Value
12393,72,6,2257.85,3,4,4,344,11,Loyal Customers,1487.838212734618,Medium Value
12394,64,2,420.92,3,2,2,322,7,Promising,328.9921673707744,Low-Medium Value
12395,19,15,4756.77,5,5,5,555,15,Champions,2490.130924351047,Medium-High Value
12397,36,2,2087.4,4,2,4,424,10,Potential Loyalists,2629.908438599084,Medium-High Value
12399,119,7,1892.1,3,4,4,344,11,Loyal Customers,850.3176077560889,Medium Value
12402,323,6,1256.9,2,4,4,244,10,Need Attention,527.8547341948819,Low-Medium Value
12403,50,2,81.9,4,2,1,421,7,Potential Loyalists,26.53908383143161,Low Value
12406,22,5,3936.02,4,4,5,445,13,Champions,1527.5934495581027,Medium Value
12407,50,5,1388.58,4,4,4,444,12,Champions,1426.1817926811823,Medium Value
12408,33,8,3177.85,4,4,5,445,13,Champions,1889.0993635094967,Medium-High Value
12409,79,5,4127.09,3,4,5,345,12,Loyal Customers,1976.62628468271,Medium-High Value
12410,309,3,773.71,2,3,3,233,8,Need Attention,347.6313769265387,Low-Medium Value
12412,75,6,2508.43,3,4,5,345,12,Loyal Customers,1311.9225830303462,Medium Value
12413,67,4,999.45,3,3,3,333,9,Promising,631.1719739892017,Low-Medium Value
12414,217,4,613.21,2,3,3,233,8,Need Attention,335.39705463088336,Low-Medium Value
12415,25,20,6440.09,4,5,5,455,14,Champions,3919.8971323663923,High Value
12417,3,20,6732.91,5,5,5,555,15,Champions,2946.403239634356,Medium-High Value
12418,113,4,1397.2,3,3,4,334,10,Promising,562.5212568107096,Low-Medium Value
12419,386,2,419.01,2,2,2,222,6,Need Attention,171.28293022390298,Low Value
12421,16,6,1098.6,5,4,4,544,13,Champions,613.3347277961416,Low-Medium Value
12422,96,14,2904.35,3,5,5,355,13,Loyal Customers,1262.9866119917658,Medium Value
12423,1,10,2622.39,5,5,5,555,15,Champions,1713.7859583304662,Medium-High Value
12424,163,4,1871.79,3,3,4,334,10,Promising,866.5643198210428,Medium Value
12425,78,2,1670.6100000000001,3,2,4,324,9,Promising,630.9679522811463,Low-Medium Value
12426,195,2,1201.21,2,2,4,224,8,Need Attention,306.3378764031225,Low-Medium Value
12427,22,3,925.3000000000001,4,3,3,433,10,Potential Loyalists,561.4190396881579,Low-Medium Value
12428,26,8,5578.08,4,4,5,445,13,Champions,5823.392993017659,High Value
12429,9,8,3989.15,5,4,5,545,14,Champions,2162.527610941229,Medium-High Value
12431,60,23,7744.13,3,5,5,355,13,Loyal Customers,3609.1421579601047,High Value
12432,43,4,2295.02,4,3,4,434,11,Potential Loyalists,3398.7668293679867,High Value
12433,1,10,14908.33,5,5,5,555,15,Champions,9517.750098860144,High Value
12434,85,3,1103.43,3,3,4,334,10,Promising,653.641586135113,Low-Medium Value
12435,268,4,1753.68,2,3,4,234,9,Need Attention,698.2713772535564,Medium Value
12437,2,38,11337.84,5,5,5,555,15,Champions,5064.544372711314,High Value
12438,14,2,1815.45,5,2,4,524,11,Potential Loyalists,2205.003280493275,Medium-High Value
12439,683,2,1158.18,1,2,4,124,7,About to Sleep,269.69804748083646,Low Value
12440,462,2,715.6,1,2,3,123,6,About to Sleep,168.49651548170715,Low Value
12444,21,5,3747.11,4,4,5,445,13,Champions,5953.978355529741,High Value
12445,22,2,434.98,4,2,2,422,8,Potential Loyalists,174.84762855058375,Low Value
12449,22,5,3696.05,4,4,5,445,13,Champions,2279.415292924541,Medium-High Value
12450,156,5,622.2,3,4,3,343,10,Loyal Customers,355.3273169049711,Low-Medium Value
12451,11,8,10966.94,5,4,5,545,14,Champions,6136.621558447463,High Value
12455,73,10,4242.37,3,5,5,355,13,Loyal Customers,1788.074176937654,Medium-High Value
12456,44,3,2330.2400000000002,4,3,5,435,12,Potential Loyalists,2065.12060880416,Medium-High Value
12457,86,4,1845.21,3,3,4,334,10,Promising,1076.6810687997533,Medium Value
12458,71,4,1537.49,3,3,4,334,10,Promising,799.4924105871199,Medium Value
12462,19,2,937.59,5,2,3,523,10,Potential Loyalists,524.1381500843273,Low-Medium Value
12463,53,4,1344.78,4,3,4,434,11,Potential Loyalists,1413.0749767959953,Medium Value
12464,10,8,987.8,5,4,3,543,12,Loyal Customers,947.5368347989872,Medium Value
12465,17,2,742.19,5,2,3,523,10,Potential Loyalists,745.8398169683534,Medium Value
12468,188,5,2455.86,2,4,5,245,11,Need Attention,972.7001019600691,Medium Value
12471,2,75,24544.08,5,5,5,555,15,Champions,11170.583946305982,High Value
12472,32,19,16064.27,4,5,5,455,14,Champions,7087.802964695933,High Value
12473,29,5,2677.15,4,4,5,445,13,Champions,3786.160920394478,High Value
12474,17,31,11929.25,5,5,5,555,15,Champions,5852.861070207782,High Value
12475,54,2,1149.64,4,2,4,424,10,Potential Loyalists,474.5459877732349,Low-Medium Value
12476,16,18,10723.550000000001,5,5,5,555,15,Champions,6825.697148015184,High Value
12477,23,9,10918.92,4,5,5,455,14,Champions,5268.737000076348,High Value
12480,28,7,4230.05,4,4,5,445,13,Champions,2419.4571665749463,Medium-High Value
12481,23,14,8233.77,4,5,5,455,14,Champions,4260.015382726649,High Value
12482,576,21,2179.0,1,5,4,154,10,About to Sleep,1073.0612038819957,Medium Value
12483,17,18,3220.26,5,5,5,555,15,Champions,1519.1141231286526,Medium Value
12484,35,9,5348.87,4,5,5,455,14,Champions,2360.860637082264,Medium-High Value
12488,10,3,1129.16,5,3,4,534,12,Potential Loyalists,3389.008874655976,High Value
12490,5,21,9078.68,5,5,5,555,15,Champions,3961.2811303343847,High Value
12492,63,3,643.21,3,3,3,333,9,Promising,360.1680786925398,Low-Medium Value
12493,166,2,433.74,3,2,2,322,7,Promising,373.605405868563,Low-Medium Value
12494,16,9,1872.8700000000001,5,5,4,554,14,Champions,977.5905830847613,Medium Value
12496,620,2,54.09,1,2,1,121,4,About to Sleep,14.752515521989913,Low Value
12497,82,3,772.14,3,3,3,333,9,Promising,269.8911652290814,Low Value
12498,21,3,403.70000000000005,4,3,2,432,9,Potential Loyalists,1594.2718512441215,Medium Value
12500,23,18,1883.28,4,5,4,454,13,Champions,893.7000475508192,Medium Value
12502,96,5,2434.42,3,4,5,345,12,Loyal Customers,2128.123161398094,Medium-High Value
12504,18,4,443.65,5,3,2,532,10,Potential Loyalists,188.50602386746266,Low Value
12507,134,4,799.66,3,3,3,333,9,Promising,346.755639006937,Low-Medium Value
12508,26,2,398.27,4,2,2,422,8,Potential Loyalists,2401.371270731102,Medium-High Value
12510,143,7,2246.91,3,4,4,344,11,Loyal Customers,885.956851434512,Medium Value
12512,66,2,138.03,3,2,1,321,6,Need Attention,358.50884853809623,Low-Medium Value
12514,267,2,1495.88,2,2,4,224,8,Need Attention,393.98389916621346,Low-Medium Value
12516,78,4,1793.74,3,3,4,334,10,Promising,759.6076254414503,Medium Value
12517,28,5,2412.84,4,4,5,445,13,Champions,3448.4699849044646,High Value
